"recipient_name","recipient_city_code","recipient_city_name","recipient_county_code","recipient_county_name","recipient_zip","recipient_state_code","recipient_country_code","recipient_type","receip_addr1","receip_addr2","receip_addr3","duns_no"
"up2us","51000","new york","005","bronx","10018","ny","","12: other nonprofit","520 eighth avenue","2nd floor","","962075318"
"united way of southern nevada vista","40000","las vegas","003","clark","89139","nv","","12: other nonprofit","8290 arville st","","","060893773"
"community services council brevard","13150","cocoa","009","brevard","32926","fl","","12: other nonprofit","3600 w king st ste 1","","","828999888"
"manned space flight education foundation","35000","houston","201","harris","77058","tx","usa","12: other nonprofit","1601 nasa pkwy","","","1933826030000"
"stopover","36000","indianapolis","097","marion","46201","in","usa","12: other nonprofit","2236 e 10th st","","","932690407"
"learn to grow","","atl","121","fulton","30311","ga","usa","12: other nonprofit","859 cascade ave","","","072030856"
"premier community healthcare group","16125","dade city","101","pasco","33525","fl","usa","12: other nonprofit","14027 5th st","","","133144618"
"carolina health centers","30895","greenwood","047","greenwood","29646","sc","usa","12: other nonprofit","313 w main st","","","197322381"
"against abuse","10530","casa grande","021","pinal","85222","az","usa","12: other nonprofit","119 n florence st","","","149082620"
"e african community of oc","02000","anaheim","059","orange","92801","ca","usa","12: other nonprofit","2301 w lincoln ave ste 246","","","805514259"
"alegent health","37000","omaha","055","douglas","68154","ne","usa","12: other nonprofit","12809 w dodge rd","","","809356504"
"community counseling & correctional servi","11275","butte","093","silver bow","59701","mt","usa","12: other nonprofit","471 e mercury st","","","161159868"
"st charles health council","69792","saint charles","105","lee","24282","va","usa","12: other nonprofit","drawer s","","","030663454"
"san dieguito for drug free youth","18506","del mar","073","san diego","92014","ca","usa","12: other nonprofit","po box 2448","","","113014893"
"model cities of saint paul","58000","saint paul","123","ramsey","55104","mn","usa","12: other nonprofit","839 university avenue w","","","801900010"
"nationalities service center of philadelphia","60000","philadelphia","101","philadelphia","19107","pa","usa","12: other nonprofit","1216 arch st fl 4","0","","077092138"
"boys & girls clubs of cleveland tn","15400","cleveland","011","bradley","37311","tn","usa","12: other nonprofit","385 3rd st sw","","","126950492"
"fairbanks counseling & adoption","24230","fairbanks","090","fairbanks n star","99707","ak","usa","12: other nonprofit","po box 71544","","","800989154"
"ican - improving chandler area neighborhoods","12000","chandler","013","maricopa","85225","az","usa","12: other nonprofit","201 s washington st","","","967154725"
"family healthcare","14184","chillicothe","141","ross","45601","oh","usa","12: other nonprofit","po box 188","","","147209894"
"green opportunities","02140","asheville","021","buncombe","28801","nc","usa","12: other nonprofit","216b livingston st","","","831837468"
"people for people","60000","philadelphia","101","philadelphia","19130","pa","usa","12: other nonprofit","800 n broad st ste 700","","","944224344"
"teen outreach pregnancy services","77000","tucson","019","pima","85716","az","usa","12: other nonprofit","3024 e ft lowell rd","","","147458652"
"minnie hamilton health care center","32884","grantsville","013","calhoun","26147","wv","usa","12: other nonprofit","rt 1 box 1a","","","151401171"
"brookline dept of public health","09210","brookline","021","norfolk","02445","ma","usa","12: other nonprofit","town hall - 333 washington st","","","940706398"
"michagan medicaremedicaid assistance program","46000","lansing","045","eaton","48917","mi","usa","12: other nonprofit","6105 w st joseph hwy","","","791049609"
"gateway community service organization","81858","w liberty","175","morgan","41472","ky","usa","12: other nonprofit","post office box 36","","","094197217"
"the childrens home","71000","tampa","057","hillsborough","33615","fl","usa","12: other nonprofit","10909 memorial hwy","","","077590313"
"mantachie rural health care","44920","mantachie","057","itawamba","38855","ms","usa","12: other nonprofit","5500 hwy 363","","","878671536"
"san diego workforce partnership","66000","san diego","073","san diego","92105","ca","usa","12: other nonprofit","3910 university ave ste 400","","","020529020"
"california health advocates","64000","sacramento","067","sacramento","95819","ca","usa","12: other nonprofit","5380 elvas ave ste 104","","","155842565"
"western kentucky maa","08902","bowling green","227","warren","42101","ky","usa","12: other nonprofit","806 kenton st","","","883191280"
"californianevada community action assn","64000","sacramento","067","sacramento","95816","ca","usa","12: other nonprofit","225 30th st ste 200","","","032139768"
"chabad of camarillo","10046","camarillo","111","ventura","93012","ca","usa","12: other nonprofit","5800 santa rosa rd","","","139266220"
"interior community health center","24230","fairbanks","090","fairbanks n star","99701","ak","usa","12: other nonprofit","1606 23rd ave","0","","944455021"
"hudson alpha institute of biotechnology","37000","huntsville","089","madison","35806","al","usa","12: other nonprofit","601 genome way","","","780007410"
"georgia mountains health services","","morgantown","111","fannin","30560","ga","usa","12: other nonprofit","po box 540","","","036854854"
"a new day","02000","albuquerque","001","bernalillo","87110","nm","usa","12: other nonprofit","1330 san pedro dr ne 201b","0","","021242524"
"mid-delta rural health clinic","13990","clarendon","095","monroe","72029","ar","usa","12: other nonprofit","401 midland st","","","109692889"
"vhs childrens hospital of michigan","52000","nashville","037","davidson","37215","tn","usa","12: other nonprofit","20 burton hills blvd","","","076377316"
"tumbleweed center for youth development","55000","phoenix","013","maricopa","85004","az","usa","12: other nonprofit","1419 n 3rd st ste 102","","","115535510"
"damien ministries","50000","washington","001","district of columbia","20018","dc","usa","12: other nonprofit","2200 rhode island avenue ne","","","161909825"
"young womens christian association","19000","dallas","113","dallas","75204","tx","usa","12: other nonprofit","4621 ross avenue","","","071378285"
"cincinnati health network","15000","cincinnati","061","hamilton","45219","oh","usa","12: other nonprofit","400 oak st","","","173997313"
"dccca","","laurence","045","douglas","66047","ks","usa","12: other nonprofit","3312 clinton parkway","","","794683219"
"project for pride in living","43000","minneapolis","053","hennepin","55404","mn","usa","12: other nonprofit","1035 franklin ave e","","","071756639"
"family recovery center","44030","lisbon","029","columbiana","44432","oh","usa","12: other nonprofit","964 n market st","","","604722413"
"southbridge medical advisory council","77580","wilmington","003","new castle","19801","de","usa","12: other nonprofit","601 new castle avenue","","","075528703"
"escambia community clinics","55925","pensacola","033","escambia","32501","fl","usa","12: other nonprofit","2200 n palafox st","","","798296745"
"organization for refugee & immigrant succes","45140","manchester","011","hillsborough","03104","nh","usa","12: other nonprofit","521 maple st","","","829313746"
"community health centers of seern iowa","83685","w burlington","057","des moines","52655","ia","usa","12: other nonprofit","1706 w agency rd","0","","126039416"
"alaska native tribal health consortium","03000","anchorage","020","anchorage","99508","ak","usa","12: other nonprofit","4000 ambassador dr","","","071375658"
"neern pennsylvania industrial resource","32408","hanover","079","luzerne","18706","pa","usa","12: other nonprofit","75 young st","hanover industrial estates","","787753631"
"community foundation of nw missouri","64550","st joseph","021","buchanan","64506","mo","usa","12: other nonprofit","1014 w st maartens dr","","","009755248"
"communty rebuilds","50700","moab","019","grand","84532","ut","usa","12: other nonprofit","548 locust lane","","","967242327"
"agricultural utilizresearch","13870","crookston","119","polk","56716","mn","usa","12: other nonprofit","owen hall annex - umc","","","612948273"
"ftvalley st univ","31096","ft valley","225","peach","31030","ga","usa","12: other nonprofit","1005 state univ dr","","","073459083"
"tour southern & eastern kentucky","71688","somerset","199","pulaski","42501","ky","usa","12: other nonprofit","2292 s hwy 27","","","062787911"
"missouri incutech foundation dba missouri ent","62912","rolla","161","phelps","65401","mo","usa","12: other nonprofit","900 innovation dr","ste 300","","184298016"
"brookneal volunteer fire department","10296","brookneal","031","campbell","24528","va","usa","12: other nonprofit","p o box 590","","","144059511"
"city of lawrence","34550","lawrence","009","essex","01840","ma","usa","12: other nonprofit","200 common st","community development department","","079523171"
"challenger center for space science education","01000","alexandria","510","alexandria","22314","va","usa","12: other nonprofit","300 n lee st ste 301","","","1898545080000"
"american indian council","53102","n kansas city","047","clay","64116","mo","","12: other nonprofit","310 armour rd","ste 20","","084890227"
"kentucky farmworker programs","08902","bowling green","227","warren","42102","ky","","12: other nonprofit","1844 lyda avenue","","","166850891"
"okaloosa walton homeless continuum of careop","24475","fort walton beach","091","okaloosa","32548","fl","","12: other nonprofit","305 lovejoy rd","","","794524251"
"centre county youth service bureau","73808","state college","027","centre","16801","pa","usa","12: other nonprofit","410 s fraser st","","","031850373"
"groundwork usa","84000","yonkers","119","westchester","10701","ny","usa","12: other nonprofit","22 main st","","","603361119"
"veterans leadership program of western pensyl","61000","pittsburgh","003","allegheny","15203","pa","","12: other nonprofit","2417 e carson st","","","173995812"
"toxic free nc","55000","raleigh","183","wake","27601","nc","usa","12: other nonprofit","206 new bern pl","","","361337616"
"maryland volunteer lawyer services","04000","baltimore","510","baltimore","21201","md","usa","12: other nonprofit","1 n charles st","ste 222","","809474450"
"eurasia foundation","50000","washington","110","district of columbia","20036","dc","usa","12: other nonprofit","1350 connecticut ave nw ste 1000","","","790933121"
"dr smart virginia","2060","richmond","760","richmond","23260","va","","12: other nonprofit","po box 25245","","","0581952510"
"kitsap county","64365","silverdale","035","kitsap","98383","wa","usa","12: other nonprofit","9265 bayshore dr nw","","","147231914"
"tachira llc","11475","chehalis","041","lewis","98532","wa","usa","12: other nonprofit","998 bunker creek rd","","","968771092"
"n conway community center","53860","n conway","003","carroll","03860","nh","","12: other nonprofit","po box 487","","","140441242"
"hispanic aids forum","51000","new york","061","new york","10001","ny","usa","12: other nonprofit","213 w 35th st 12th floor","","","607383346"
"e central kansas economic opportunity corp","53550","ottawa","059","franklin","66067","ks","usa","12: other nonprofit","post office box 200","","","095823274"
"phoenix biosystem","57792","pleasanton","001","alameda","94566","ca","usa","12: other nonprofit","6833 corte munras","","","032758695"
"western foundation of vertebrate zoology","10046","camarillo","111","ventura","93012","ca","usa","12: other nonprofit","439 calle san pablo","","","132873878"
"mobile area education foundation","50000","mobile","097","mobile","36606","al","usa","12: other nonprofit","605 bel air blvd","ste 400","","053755893"
"cambrian innovation","07000","boston","025","suffolk","02210","ma","usa","12: other nonprofit","27 drydock ave","floor 2","","784797412"
"american inst chem engineers","51000","new york","061","new york","10016","ny","usa","12: other nonprofit","3 park avenue","19th floor","","073269003"
"puerto rican family institute","51000","new york","061","new york","10011","ny","usa","12: other nonprofit","145 w 15th st","","","078865243"
"alaska maarine safety education assn","70540","sitka","220","sitka","99835","ak","usa","12: other nonprofit","pobox 2592","","","798375341"
"bilingual foundation of the arts fundacion bi","44000","los angeles","037","los angeles","90031","ca","","12: other nonprofit","421 n avenue 19","","","1440475600000"
"st lukes regional medical center","08700","boise","001","ada","83712","id","usa","12: other nonprofit","190 e bannock st","","","078350154"
"western colorado interpretive assoc iation","19850","delta","029","delta","81416","co","","12: other nonprofit","3920 westgate","","","0914663540000"
"washington drama society dba arena sta","50000","washington district","001","district of columbia","20024","dc","","12: other nonprofit","1101 sixth st sw","","","074833203"
"cultural alliance of seern michigan","22000","detroit","163","wayne","48207","mi","","12: other nonprofit","3434 russell st","ste 105","","0273475420000"
"city futures","51000","new york","061","new york","10005","ny","","12: other nonprofit","120 wall st fl 20","","","6023685320000"
"aid atlanta","04000","atlanta","121","fulton","30309","ga","usa","12: other nonprofit","1438 w peachtree st nw ste 100","","","173849373"
"the student conservation associatio n","11300","charlestown census n","019","sullivan","03603","nh","","12: other nonprofit","32 campus dr 4104","","","0103797900000"
"senior resources","16000","columbia","063","lexington","29205","sc","","12: other nonprofit","2817 millwood ave","","","070372099"
"council of community services","68000","roanoke","770","roanoke","24004","va","","12: other nonprofit","502 campbell avenue","po box 598 24004","","926483611"
"dena nena henash","24230","fairbanks","090","fairbanks n star","99701","ak","","12: other nonprofit","122 first ave ste 600","","","0718453580000"
"young audiences","51000","new york","061","new york","10016","ny","","12: other nonprofit","171 madison avenue","ste 200","","0732764120000"
"peace first","07000","boston","025","suffolk","02210","ma","","12: other nonprofit","280 summer st","mezzanine level","","036565612"
"new england wildflower society","24960","framingham","017","middlesex","01701","ma","","12: other nonprofit","180 hemenway rd","","","0800482830000"
"jeffersonfranklin community action corporati","32248","hillsboro","099","jefferson","63050","mo","usa","12: other nonprofit","post office box 457","","","088711205"
"aequalis","39075","lake worth","099","palm beach","33460","fl","","12: other nonprofit","1320 n palmway","","","0619536620000"
"pact plan of action for challenging times","67000","san francisco","075","san francisco","94117","ca","usa","12: other nonprofit","635 divisadero st","","","048624795"
"colorado school of mines","30835","golden","059","jefferson","80401","co","usa","12: other nonprofit","1500 illinois st","","","010628170"
"kitka","53000","oakland","001","alameda","94612","ca","","12: other nonprofit","1201 martin luther king jr","way","","3631404430000"
"young musicians foundation","06308","beverly hills","037","los angeles","90212","ca","","12: other nonprofit","195 s beverly dr","ste 414","","1443779420000"
"pacific asia museum","56000","pasadena","037","los angeles","91101","ca","","12: other nonprofit","46 n los robles ave","","","0883722710000"
"community action partnership of lancaster &sa","28000","lincoln","109","lancaster","68508","ne","usa","12: other nonprofit","210 o st","","","072910086"
"sw youth services collaborative","14000","chicago","031","cook","60629","il","usa","12: other nonprofit","6400 s kedzie ave","","","933127888"
"hiv education & prevention project of alame","53000","oakland","001","alameda","94601","ca","usa","12: other nonprofit","53232 foothill blvd","","","063571439"
"massachusetts museum of contemporary art foun","46225","n adams","003","berkshire","01247","ma","","12: other nonprofit","1040 mass moca way","","","6018088010000"
"art 21","51000","new york","061","new york","10013","ny","","12: other nonprofit","286 spring st ste 405","","","0552998170000"
"alternate roots","04000","atlanta","121","fulton","30307","ga","","12: other nonprofit","1083 austin avenue ste 7","","","1143828720000"
"ageya wilderness education","03000","anchorage","020","anchorage","99503","ak","usa","12: other nonprofit","3705 arctic blvd num2078","","","793791740"
"moss produce llc dba arrowhead potato","70660","rupert","067","minidoka","83350","id","usa","12: other nonprofit","223 scott avenue","po box 425","","962123027"
"partners in development foundation","16999","honolulu","003","honolulu","96817","hi","usa","12: other nonprofit","2040 bachelot st","","","031873149"
"kai loa","28250","kaneohe","003","honolulu","96744","hi","usa","12: other nonprofit","45-037 kaneohe bay dr","","","830819509"
"egg tech ltd","79912","versailles","037","darke","45380","oh","usa","12: other nonprofit","895 main st","","","623587602"
"partners of the americas","50000","washington","110","district of columbia","20005","dc","usa","12: other nonprofit","1424 k st nw ste 700","","","040531808"
"cordova waterworks & gas boardof city","17368","cordova","127","walker","35550","al","usa","12: other nonprofit","3885 n mass ave ste 102","","","078475484"
"hancock county planning commission","23200","ellsworth","009","hancock","04605","me","usa","12: other nonprofit","395 state st","","","780855110"
"regional contracting assistanc","13300","caress","007","braxton","25301","wv","usa","12: other nonprofit","1116 smith st ste 202","","","783610355"
"se tennessee dev dst","14000","chattanooga","065","hamilton","37402","tn","usa","12: other nonprofit","1000 riverfront pkwy","0","","096374855"
"roanoke valley alleghany regional commission","68000","roanoke","770","roanoke","24016","va","usa","12: other nonprofit","313 luck ave sw","0","","784708351"
"n central planning & development district","80760","winona","097","montgomery","38967","ms","usa","12: other nonprofit","711 s applegate st","0","","106293269"
"neern pa aliance","61048","pittston","079","luzerne","18640","pa","usa","12: other nonprofit","1151 oak st","0","","079159323"
"michigan manufacturing technology center","65040","plymouth","053","gogebic","48170","mi","usa","12: other nonprofit","47911 halyard dr","","","122404890"
"citizens tv","48600","milton freewater","059","umatilla","97862","or","usa","12: other nonprofit","po box 2","","","055975239"
"r christopher goodwin & associ","55012","new orleans coast gu","075","plaquemines","70121","la","usa","12: other nonprofit","309 jefferson hwy","","","139241665"
"verde","59000","portland","051","multnomah","97218","or","usa","12: other nonprofit","6899 ne columbia blvd ste a","","","614745227"
"trustees of boston co","0000","chestnut hill","017","middlesex","02467","ma","","12: other nonprofit","140 commonwealth avenue","chestnut hill","chestnut hill","0458963390"
"association of public & land-grant universi","50000","washington","110","district of columbia","20005","dc","usa","12: other nonprofit","1307 new york ave ste 400","","","081075731"
"king cnty arpt dis num1","1960","seattle","033","king","98108","wa","","12: other nonprofit","9704 sw 156th st","null","null","8290056800"
"ada boys & girls club","00200","ada","123","pontotoc","74820","ok","usa","12: other nonprofit","915 s hickory st","","","938470374"
"boulder language technologies blt","07850","boulder","013","boulder","80301","co","usa","12: other nonprofit","2960 center green ct ste 200","","","791197622"
"aldo leopold foundation","04625","baraboo","111","sauk","53913","wi","","12: other nonprofit","po box 77","","","9592541780000"
"id coalition against sexual abuse & domesti","08700","boise","001","ada","83712","id","usa","12: other nonprofit","815 park blvd ste 140","","","129850590"
"gandara mental health center","67000","springfield","013","hampden","01105","ma","usa","12: other nonprofit","333 e columbus ave","","","087450383"
"national organization of black county officia","50000","washington","001","district of columbia","20001","dc","usa","12: other nonprofit","440 1st st nw ste 410","","","121552350"
"society of hospital medicine","60000","philadelphia","101","philadelphia","19106","pa","usa","12: other nonprofit","190 n independance mall w","","","140526521"
"avance","35000","houston","201","harris","77092","tx","usa","12: other nonprofit","4281 dacoma","","","111977539"
"st johns county health department","62500","saint augustine","109","st johns","32086","fl","usa","12: other nonprofit","1955 us 1 s","","","143311301"
"gulf bend mental health & mental retardation","75428","victoria","469","victoria","77901","tx","usa","12: other nonprofit","2105 pt lavaca dr","","","010545598"
"robotics education & competition foundation","76460","sterling heights","099","macomb","48310","mi","usa","12: other nonprofit","37490 carpathia blvd","","","1420602300000"
"assoc for medical ed & rsch in substance abu","51940","n providence","007","providence","02908","ri","usa","12: other nonprofit","125 whipple st 3rd floor","","","017722583"
"nw community action","03160","badger","135","roseau","56714","mn","usa","12: other nonprofit","post office box 195","","","021585567"
"three rivers planning & development district","59160","pontotoc","115","pontotoc","38863","ms","usa","12: other nonprofit","75 s main st","0","","030429567"
"women aware","51210","new brunswick","023","middlesex","08901","nj","usa","12: other nonprofit","250 livingston avenue","","","604488689"
"rhode island coalition against domestic viole","55900","pilgrim","003","kent","02888","ri","usa","12: other nonprofit","422 post rd","ste 102","","025869715"
"polaris project","50000","washington","001","district of columbia","20009","dc","","12: other nonprofit","1832 connecticut ave nw","","","138789164"
"winterberry parent guild","03000","anchorage","020","anchorage","99501","ak","","12: other nonprofit","508 w 2nd ave","","","9667173780000"
"microsoft charitable trust","57535","redmond king","033","king","98052","wa","","12: other nonprofit","senior director","","","081466849"
"oregon coalition aganist domestic & sexual","57550","piedmont","051","multnomah","97211","or","usa","12: other nonprofit","1737 ne alberta st","ste 205","","790033500"
"bolton refuge house","22300","eau claire","035","eau claire","54702","wi","usa","12: other nonprofit","807 s farwell st","po box 482","","167550672"
"native american community board","35100","lake andes","023","charles mix","57356","sd","usa","12: other nonprofit","809 high st","","","180905655"
"women against abuse","60000","philadelphia","101","philadelphia","19110","pa","usa","12: other nonprofit","100 s broad st ste 1341","","","021050802"
"catholic charities","36000","jackson","121","rankin","39201","ms","usa","12: other nonprofit","200 n congress st ste 100","","","119747822"
"praxis international","44782","munger","137","st louis","55806","mn","usa","12: other nonprofit","206 w fourth st ste 207","","","088500645"
"s dakota network against family violence&","59020","sioux falls","099","minnehaha","57109","sd","usa","12: other nonprofit","po box 90453","","","003859878"
"bristol bay native association","18950","dillingham","070","dillingham","99576","ak","usa","12: other nonprofit","1500 kanakanak rd","po box 310","","067639807"
"advocacy services for abused deaf victims","63000","rochester","055","monroe","14614","ny","usa","12: other nonprofit","121 fitzhugh st n","","","830265760"
"alaska association conservation dis tricts","83080","wasilla","170","matanuska-susitna","99654","ak","","12: other nonprofit","1700 e bogard rd 203-a","","","1437390480000"
"trout unlimited new jersey council new jersey","08620","budd lake","027","morris","07836","nj","","12: other nonprofit","11 kevin dr","","","9690577720000"
"the consortium for entrepreneurship education","18000","columbus","041","delaware","43212","oh","usa","12: other nonprofit","1450 cliff ct","0","","149169471"
"colorado legal services","20000","denver","031","denver","80203","co","usa","12: other nonprofit","1905 sherman st ste 400","","","084021542"
"rogers county volunteers for youth","14700","claremore","131","rogers","74017","ok","usa","12: other nonprofit","1700 s lynn riggs blvd","ste a","","133475223"
"ichauway","55244","newton","007","baker","39870","ga","","12: other nonprofit","state hwy num91 s","","","0724693560000"
"frank h hiscock legal aid society","73000","syracuse","067","onondaga","13202","ny","usa","12: other nonprofit","351 s warren st","","","155725351"
"family crisis shelter & services for yamhill","45000","mcminnville","071","yamhill","97128","or","usa","12: other nonprofit","po box 26","610 se 1st st","","044611775"
"national organization of sisters of color end","12200","canton","003","hartford","06019","ct","usa","12: other nonprofit","po box 625","","","143322316"
"world education","07000","boston suffolk","025","suffolk","02210","ma","","12: other nonprofit","2","","","073272692"
"spirit of soccer","38288","johnstown","021","cambria","15905","pa","","12: other nonprofit","73 bucknell ave","","","607038135"
"american indian resource center","72100","tahlequah","021","cherokee","74464","ok","usa","12: other nonprofit","110 w choctaw","","","145307443"
"ecohealth alliance","51000","new york","061","new york","10001","ny","","12: other nonprofit","zubin@ecohealthallianceorg","460 w 34th st","num1701","0770900660000"
"tennessee-tombigbee waterway transportation m","15380","columbus","091","marion","39703","ms","usa","12: other nonprofit","318 7th st n","0","","147862262"
"police executive research forum","50000","washington","001","district of columbia","20036","dc","usa","12: other nonprofit","1120 connecticut avenue nw","ste 930","","071246763"
"valley opportunity council","30840","holyoke","013","hampden","01040","ma","","12: other nonprofit","300 high st","","","079234183"
"maryland coalition against sexual assault in","02275","arnold","003","anne arundel","21012","md","usa","12: other nonprofit","1517 gov ritchie hwy ste 20","","","124877254"
"mn cultivated wild rice council","27123","st paul","123","ramsey","55126","mn","usa","12: other nonprofit","4630 churchill st ste 1","","","962479663"
"practical farmers of iowa","19169","ames","169","story","50010","ia","usa","12: other nonprofit","600 5th st ste 100","","","103916693"
"indian nations conservation alliance","30057","twin bridges","057","madison","59754","mt","usa","12: other nonprofit","350 nye rd","","","801451076"
"marine environmental sciences consortiumdaup","19744","dauphin island","097","mobile","36528","al","usa","12: other nonprofit","101 bienville blvd","","","075070474"
"scott & white memorial hospital","72176","temple","027","bell","76508","tx","usa","12: other nonprofit","2401 s 31st st","","","076697960"
"hope educational foundation","58050","pompano beach","011","broward","33069","fl","usa","12: other nonprofit","3111 sw 10th st","","","622370554"
"catholic charities of the diocese of rocheste","63000","rochester","055","monroe","14608","ny","usa","12: other nonprofit","55 troup st","","","104916999"
"alaska dept of health & social services","36400","juneau","110","juneau","99501","ak","usa","12: other nonprofit","po box 110612","","","809386543"
"aid greater desmoines incaids project of c","21000","des moines","153","polk","50309","ia","usa","12: other nonprofit","711 e 2nd st","","","829460179"
"mt enterprise community health clinic","49728","mount enterprise","401","rusk","75681","tx","usa","12: other nonprofit","post office box 489","","","076153225"
"international association of fire chiefs","00","fairfax","059","fairfax","22033","va","","12: other nonprofit","4025 fair ridge dr ste 300","","","0203124430"
"american chemistry council","0100","arlington","013","arlington","22209","va","","12: other nonprofit","1300 wilson blvd","na","na","0460391520"
"virginia community policing institute","99159","richmond","760","richmond","23220","va","usa","12: other nonprofit","413 stuart circle","ste 200","","119317993"
"national native american law enforcement asso","86140","washington","477","yolo","20004","dc","usa","12: other nonprofit","1300 pennsylvania avenue nw","ste 700","","121163088"
"aashto","0000","washington","001","district of columbia","20001","dc","","12: other nonprofit","444 n capitol st nw num249","washington dc 20001-1551","washington dc 20001-1551","0923926790"
"winrock international institute for agricultu","41000","little rock","119","pulaski","72202","ar","usa","12: other nonprofit","2101 riverfront dr","","","1221902420000"
"middle georgia caa","80508","warner robins","153","houston","31099","ga","usa","12: other nonprofit","po box 2286","","","072483258"
"disability rights new jersey","74000","trenton","021","mercer","08608","nj","usa","12: other nonprofit","210 s broad st","","","932912561"
"n iowa community action organization","50160","mason city","033","cerro gordo","50402","ia","usa","12: other nonprofit","po box 1627","","","098022197"
"the feel good farm llc","36000","indianapolis","097","marion","46226","in","usa","12: other nonprofit","7503 crews dr","","","968885462"
"wright county community action","","maple lakes","171","wright","55358","mn","usa","12: other nonprofit","130 w division st","","","782088215"
"cumberland farmers market","49740","monteagle","061","grundy","37356","tn","usa","12: other nonprofit","197 8th st","","","968750906"
"breedlove dehydrated food","45000","lubbock","483","lubbock","79403","tx","usa","12: other nonprofit","1818 n martin luther king blvd","","","836437095"
"health research","46536","menands","001","albany","12204","ny","usa","12: other nonprofit","150 broadway ste 560","riverview center","","002436061"
"community health center of buffalo","11000","buffalo","029","erie","14215","ny","usa","12: other nonprofit","462 grider st","","","069976954"
"heartland rural health network","02750","avon park","055","highlands","33825","fl","usa","12: other nonprofit","1200 w avon blvd","","","057975851"
"hamakua health center","","honokaa","001","hawaii","96727","hi","usa","12: other nonprofit","po box 509","","","077669240"
"enterprise community partners","19125","columbia","027","howard","21044","md","","12: other nonprofit","10227 wincopin circle","","","1130076600000"
"battery dance corporation","51000","new york new york","061","new york","10013","ny","","12: other nonprofit","380 broadway","","","946897717"
"t paf","32205","cambridge","250","middlesex","02139","ma","usa","12: other nonprofit","663 green st","","","162768944"
"plz de la raza","41502","los angeles","037","loa angeles","90031","ca","","12: other nonprofit","3540 n mission rd","","","0761993060000"
"round house theatre","07125","bethesda","031","montgomery","20824","md","","12: other nonprofit","po box 30688","","","7878675710000"
"boston lyric opera company","07000","boston","025","suffolk county","02111","ma","","12: other nonprofit","11 avenue de lafayette","","","0518714810000"
"liberty hall incorporated","28900","frankfort","073","franklin","40601","ky","","12: other nonprofit","202 - 218 wilkinson st","","","0429476140000"
"texas state aquarium association","17000","corpus christi","273","kleberg","78402","tx","usa","12: other nonprofit","2710 n shoreline blvd","","","188754501"
"watsonville hacity of","83668","watsonville","087","santa cruz","95076","ca","usa","12: other nonprofit","215 union st box 50000","","","010939452"
"homefull","21000","dayton","113","montgomery","45417","oh","","12: other nonprofit","po box 1294","","","019442180"
"child care resources & referral","54880","rochester","109","olmsted","55904","mn","usa","12: other nonprofit","126 woodlake dr se","","","185726189"
"institute for advanced study","60900","princeton","021","mercer","08540","nj","usa","12: other nonprofit","einstein dr","","","0737501350000"
"children&num039s museum the","07000","boston","025","suffolk","02210","ma","usa","12: other nonprofit","300 congress st","","","0765872780000"
"valley healthcare system","19000","columbus","215","muscogee","31903","ga","usa","12: other nonprofit","1440 benning dr ste 120","0","","869002352"
"hurtt family health clinic","80854","tustin","059","orange","92782","ca","usa","12: other nonprofit","one hope dr","","","008678059"
"whitman-walker clinic","50000","washington","001","district of columbia","20009","dc","usa","12: other nonprofit","1407 s st nw","","","112625462"
"the sayre health center","60000","philadelphia","101","philadelphia","19139","pa","usa","12: other nonprofit","5800 walnut st","","","148963767"
"st marys hospital","18640","cottonwood","049","idaho","83522","id","usa","12: other nonprofit","po box 137","","","076638667"
"county of koochiching","31040","international falls","071","koochiching","56649","mn","usa","12: other nonprofit","1100 5th st","","","096491378"
"cheyenne health & wellness center","13900","cheyenne","021","laramie","82007","wy","usa","12: other nonprofit","2508 e fox farm rd","","","145016601"
"crusaders central clinic association","65000","rockford","201","winnebago","61102","il","usa","12: other nonprofit","1200 w state st","","","074585837"
"balm in gilead the","51000","new york","061","new york","10036","ny","usa","12: other nonprofit","130 w 42 st ste 450","","","838440220"
"triad health systems","58692","owenton","187","owen","40359","ky","usa","12: other nonprofit","po box 446","","","798880543"
"sw oklahoma community action group in","01700","altus","065","jackson","73522","ok","usa","12: other nonprofit","po box 1088","","","159300789"
"community health center of richmond","70914","staten island","085","richmond","10302","ny","usa","12: other nonprofit","235 port richmond avenue","","","800616851"
"n shore community health","59105","salem","009","essex","01970","ma","usa","12: other nonprofit","47 congress st","","","144117538"
"national council for air & stream improveme","19000","durham","063","durham","27703","nc","usa","12: other nonprofit","4815 emperor blvd ste 110","","","071038731"
"catholic family & child services","53545","pasco","021","franklin","99301","wa","","12: other nonprofit","2110 w henry st","","","800435703"
"manatee community action agency","07950","bradenton","081","manatee","34208","fl","usa","12: other nonprofit","302 manatee ave e ste 150","0","","058251356"
"chabot space & science center foundation","53000","oakland","001","alameda","94619","ca","usa","12: other nonprofit","10000 skyline blvd","","","848958500"
"camba","10022","brooklyn borough of","047","kings","11226","ny","","12: other nonprofit","1720 church avenue","","","160715983"
"community relations - social development comm","53000","milwaukee","079","milwaukee","53212","wi","usa","12: other nonprofit","4041 n richards st","","","071152912"
"united way of the wine country","70098","santa rosa","097","sonoma","95401","ca","usa","12: other nonprofit","418 b st","ste 400","","831083923"
"mesa united way","46000","mesa","013","maricopa","85201","az","usa","12: other nonprofit","137 e university dr","","","020693388"
